"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-08","9.17",,"0.03","0.7","0.0","32","34","28","   50","   50","16.1","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-09","12.30",,"0.25","0.0","0.0","36","42","32","   40","   50","19.9","25.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-10","12.30",,"0.28","2.1","0.0","36","38","30","  260","  260","23.0","29.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-11","18.34",,"0.00","0.0","1.2","30","32","27","  270","  260","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-12","16.11",,"0.00","0.0","0.0","27","30","23","  320","  320","25.9","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-13","15.21",,"0.00","0.0","0.0","28","36","24","  270","  270","25.9","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-14","14.76",,"0.57","3.2","0.0","29","43","25","   50","  100","23.9","35.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-15","15.21",,"0.82","0.0","0.0","38","47","33","   80","  100","25.9","36.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-16","14.09",,"0.00","0.0","0.0","32","35","25","  280","  280","28.0","33.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-17","9.84",,"0.13","0.7","0.0","28","34","25","  360","  360","21.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-18","13.20",,"0.00","0.0","0.0","30","38","25","  270","  270","23.0","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-19","9.84",,"0.00","0.0","0.0","36","45","29","  240","  240","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-20","5.82",,"0.00","0.0","0.0","43","51","36","  220","  220","13.0","15.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-21","6.26",,"0.00","0.0","0.0","47","55","42","  190","  180","18.1","21.0","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-22","13.20",,"0.00","0.0","0.0","53","64","50","  190","  180","28.0","32.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-23","8.50",,"0.49","0.0","0.0","54","57","43","  340","  330","23.0","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-24","15.43",,"0.00","0.0","0.0","40","43","27","  330","  330","29.1","36.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-25","10.29",,"0.00","0.0","0.0","26","32","20","  330","  320","29.1","36.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-26","8.50",,"0.00","0.0","0.0","32","38","28","  270","  270","21.0","23.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-27","10.96",,"0.00","0.0","0.0","36","42","31","  260","  270","21.0","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-28","12.08",,"0.00","0.0","0.0","41","53","31","  240","  240","23.0","25.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-29","10.07",,"1.18","0.0","0.0","44","49","38","  340","   90","25.1","33.1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-30","13.42",,"0.00","0.0","0.0","41","47","24","  330","  330","23.9","30.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2013-12-31","11.86",,"0.00","0.0","0.0","27","34","21","  280","  290","25.9","36.9",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-01","8.95",,"0.00","0.0","0.0","29","34","24","  280","  270","18.1","23.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-02","18.12",,"0.13","2.4","0.0","30","33","19","   20","   10","29.1","36.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-03","19.69",,"0.22","5.5","7.1","16","19","9","  350","  350","33.1","44.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-04","7.16",,"0.00","0.0","7.1","15","31","3","  230","  230","17.0","21.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-05","6.93",,"0.10","0.0","5.9","31","49","23","  140","  150","23.0","31.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-06","21.03",,"0.41","0.0","1.2","46","53","20","  260","  260","38.0","45.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-07","22.82",,"0.00","0.0","0.0","15","20","6","  260","  290","38.0","46.1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-08","12.75",,"0.00","0.0","0.0","14","24","10","  290","  270","21.9","28.0",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2014-01-09","6.71",,"0.00","0.0","0.0","26","34","22","  330","  330","15.0","19.9",,,,,,,
